Confidence B-NP
in B-PP
the B-NP
pound I-NP
is B-VP
widely I-VP
expected I-VP
to I-VP
take I-VP
another B-NP
sharp I-NP
dive I-NP
if B-SBAR
trade B-NP
figures I-NP
for B-PP
September B-NP
, O
due B-ADJP
for B-PP
release B-NP
tomorrow B-NP
, O
fail B-VP
to I-VP
show I-VP
a B-NP
substantial I-NP
improvement I-NP
from B-PP
July B-NP
and I-NP
August I-NP
's B-NP
near-record I-NP
deficits I-NP
. O

Chancellor O
of B-PP
the B-NP
Exchequer I-NP
Nigel B-NP
Lawson I-NP
's B-NP
restated I-NP
commitment I-NP
to B-PP
a B-NP
firm I-NP
monetary I-NP
policy I-NP
has B-VP
helped I-VP
to I-VP
prevent I-VP
a B-NP
freefall I-NP
in B-PP
sterling B-NP
over B-PP
the B-NP
past I-NP
week I-NP
. O

But O
analysts B-NP
reckon B-VP
underlying B-NP
support I-NP
for B-PP
sterling B-NP
has B-VP
been I-VP
eroded I-VP
by B-PP
the B-NP
chancellor I-NP
's B-NP
failure I-NP
to B-VP
announce I-VP
any B-NP
new I-NP
policy I-NP
measures I-NP
in B-PP
his B-NP
Mansion I-NP
House I-NP
speech I-NP
last B-NP
Thursday I-NP
. O

This B-NP
has B-VP
increased I-VP
the B-NP
risk I-NP
of B-PP
the B-NP
government I-NP
being B-VP
forced I-VP
to I-VP
increase I-VP
base B-NP
rates I-NP
to B-PP
16 B-NP
% I-NP
from B-PP
their B-NP
current I-NP
15 I-NP
% I-NP
level I-NP
to B-VP
defend I-VP
the B-NP
pound I-NP
, O
economists B-NP
and O
foreign B-NP
exchange I-NP
market I-NP
analysts I-NP
say B-VP
. O

`` O
The B-NP
risks I-NP
for B-PP
sterling B-NP
of B-PP
a B-NP
bad I-NP
trade I-NP
figure I-NP
are B-VP
very B-ADVP
heavily I-ADVP
on B-PP
the B-NP
down I-NP
side I-NP
, O
'' O
said B-VP
Chris B-NP
Dillow I-NP
, O
senior B-NP
U.K. I-NP
economist I-NP
at B-PP
Nomura B-NP
Research I-NP
Institute I-NP
. O

`` O
If B-SBAR
there B-NP
is B-VP
another B-NP
bad I-NP
trade I-NP
number I-NP
, O
there B-NP
could B-VP
be I-VP
an B-NP
awful I-NP
lot I-NP
of B-PP
pressure B-NP
, O
'' O
noted B-VP
Simon B-NP
Briscoe I-NP
, O
U.K. B-NP
economist I-NP
for B-PP
Midland B-NP
Montagu I-NP
, O
a B-NP
unit I-NP
of B-PP
Midland B-NP
Bank I-NP
PLC I-NP
. O

Forecasts B-NP
for B-PP
the B-NP
trade I-NP
figures I-NP
range B-VP
widely B-ADVP
, O
but O
few B-NP
economists I-NP
expect B-VP
the B-NP
data I-NP
to B-VP
show I-VP
a B-NP
very I-NP
marked I-NP
improvement I-NP
from B-PP
the O
# O
2 O
billion O
-LRB- O
$ B-ADJP
3.2 O
billion O
-RRB- O
deficit B-NP
in B-PP
the B-NP
current I-NP
account I-NP
reported B-VP
for B-PP
August B-NP
. O

The B-NP
August I-NP
deficit I-NP
and O
the B-NP
# I-NP
2.2 I-NP
billion I-NP
gap I-NP
registered B-VP
in B-PP
July B-NP
are B-VP
topped I-VP
only B-ADVP
by B-PP
the B-NP
# I-NP
2.3 I-NP
billion I-NP
deficit I-NP
of B-PP
October B-NP
1988 I-NP
. O

Sanjay B-NP
Joshi I-NP
, O
European B-NP
economist I-NP
at B-PP
Baring B-NP
Brothers I-NP
& I-NP
Co. I-NP
, O
said B-VP
there B-NP
is B-VP
no B-NP
sign I-NP
that B-SBAR
Britain B-NP
's B-NP
manufacturing I-NP
industry I-NP
is B-VP
transforming I-VP
itself B-NP
to B-VP
boost I-VP
exports B-NP
. O

At B-PP
the B-NP
same I-NP
time I-NP
, O
he B-NP
remains B-VP
fairly B-ADJP
pessimistic I-ADJP
about B-PP
